Plot,Treatment,Type,Species,DBH,DSB,Height,DSB_m,Height_m,Biomass,C_per_tree,Carbon_kg.m2
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.5,70,0.005,0.7,0.839088044,0.419544022,0.016781761
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.8,108,0.008,1.08,2.462948723,1.231474361,0.049258974
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.7,82,0.007,0.82,1.609805447,0.804902724,0.032196109
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.6,64,0.006,0.64,1.040974326,0.520487163,0.020819487
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,1.1,99,0.011,0.99,3.790215362,1.895107681,0.075804307
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,1.2,71,0.012,0.71,3.347586315,1.673793157,0.066951726
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,1.1,94,0.011,0.94,3.639321163,1.819660581,0.072786423
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,1.3,95,0.013,0.95,4.768347839,2.384173919,0.095366957
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,1.2,58,0.012,0.58,2.856811388,1.428405694,0.057136228
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,1.1,59,0.011,0.59,2.526133803,1.263066902,0.050522676
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,1.2,61,0.012,0.61,2.972011064,1.486005532,0.059440221
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.4,50,0.004,0.5,0.454278567,0.227139284,0.009085571
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.6,79,0.006,0.79,1.227793737,0.613896869,0.024555875
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.3,75,0.003,0.75,0.397631914,0.198815957,0.007952638
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,1,55,0.01,0.55,2.059018833,1.029509416,0.041180377
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.4,56,0.004,0.56,0.496482855,0.248241427,0.009929657
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.5,65,0.005,0.65,0.791731565,0.395865782,0.015834631
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,1.1,93,0.011,0.93,3.60893651,1.804468255,0.07217873
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,1.2,100,0.012,1,4.378550512,2.189275256,0.08757101
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.8,79,0.008,0.79,1.927544287,0.963772143,0.038550886
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.6,54,0.006,0.54,0.911169146,0.455584573,0.018223383
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.7,72,0.007,0.72,1.453776545,0.726888272,0.029075531
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.6,51,0.006,0.51,0.871243996,0.435621998,0.01742488
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.7,51,0.007,0.51,1.109427623,0.554713811,0.022188552
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.6,67,0.006,0.67,1.079035107,0.539517553,0.021580702
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.7,51,0.007,0.51,1.109427623,0.554713811,0.022188552
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.6,54,0.006,0.54,0.911169146,0.455584573,0.018223383
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.8,65,0.008,0.65,1.654235241,0.82711762,0.033084705
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.6,53,0.006,0.53,0.89791534,0.44895767,0.017958307
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.5,78,0.005,0.78,0.913372935,0.456686468,0.018267459
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.4,69,0.004,0.69,0.584754353,0.292377176,0.011695087
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.6,77,0.006,0.77,1.203360125,0.601680063,0.024067203
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.6,78,0.006,0.78,1.215593855,0.607796928,0.024311877
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.6,73,0.006,0.73,1.154075781,0.57703789,0.023081516
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.8,87,0.008,0.87,2.078948018,1.039474009,0.04157896
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.9,104,0.009,1.04,2.876099109,1.438049555,0.057521982
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.7,103,0.007,1.03,1.92485409,0.962427045,0.038497082
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,1.1,118,0.011,1.18,4.349444204,2.174722102,0.086988884
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.5,67,0.005,0.67,0.81076542,0.40538271,0.016215308
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.4,66,0.004,0.66,0.56472908,0.28236454,0.011294582
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.5,63,0.005,0.63,0.772570705,0.386285352,0.015451414
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.5,62,0.005,0.62,0.762941124,0.381470562,0.015258822
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.8,133,0.008,1.33,2.899624694,1.449812347,0.057992494
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.6,79,0.006,0.79,1.227793737,0.613896869,0.024555875
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.8,123,0.008,1.23,2.72728865,1.363644325,0.054545773
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.5,61,0.005,0.61,0.753277919,0.37663896,0.015065558
Notburnt_7,UNBURNT,Shrub,Mitragyna innermis,NA,0.6,61,0.006,0.61,1.002525885,0.501262942,0.020050518
Notburnt_6,UNBURNT,Shrub,Vetallaria paradoxa,NA,1.7,64,0.017,0.64,5.327853901,2.66392695,0.106557078
Notburnt_6,UNBURNT,Shrub,Vetallaria paradoxa,NA,3.8,173,0.038,1.73,40.99954808,20.49977404,0.819990962
Notburnt_6,UNBURNT,Shrub,Vetallaria paradoxa,NA,1.7,78,0.017,0.78,6.221581358,3.110790679,0.124431627
