Treatment,Location,Subplot,Horizon,Depth,SOC,C.density
Recent early,Early2014_16,2,2,2,1.644478844,82.22394221
Recent early,Early2014_16,2,7,5,4.742936784,94.85873567
Recent early,Early2014_16,2,12,5,4.843536784,96.87073567
Recent early,Early2014_16,3,2,2,0.991601878,49.58009392
Recent early,Early2014_16,3,7,5,3.835947947,76.71895895
Recent early,Early2014_16,3,12,5,3.72554557,74.51091139
Recent early,Early2014_16,4,2,2,1.691337238,84.56686188
Recent early,Early2014_16,4,7,5,4.781443888,95.62887776
Recent early,Early2014_16,4,12,5,4.349114038,86.98228077
Recent early,Early2014_16,5,2,2,1.145146471,57.25732357
Recent early,Early2014_16,5,7,5,4.064280138,81.28560276
Recent early,Early2014_16,5,12,5,3.998403399,79.96806798
Recent early,Early2014_16,5,17,5,3.927697931,78.55395862
Recent early,Early2014_13,1,2,2,0.541890022,27.09450109
Recent early,Early2014_13,1,7,5,1.620357174,32.40714349
Recent early,Early2014_13,1,12,5,2.164248667,43.28497333
Recent early,Early2014_13,2,2,2,0.421633729,21.08168644
Recent early,Early2014_13,2,7,5,2.93363518,58.67270359
Recent early,Early2014_13,2,12,5,2.68485835,53.69716701
Recent early,Early2014_13,3,2,2,1.328839724,66.44198622
Recent early,Early2014_13,3,7,5,2.589619239,51.79238479
Recent early,Early2014_13,3,12,5,2.090818763,41.81637526
Recent early,Early2014_13,4,2,2,0.821505418,41.07527091
Recent early,Early2014_13,4,7,5,1.72777722,34.55554439
Recent early,Early2014_13,4,12,5,6.160601758,123.2120352
Recent early,Early2014_13,5,2,2,0.86095846,43.04792299
Recent early,Early2014_13,5,7,5,3.320132755,66.4026551
Recent early,Early2014_13,5,12,5,2.535076192,50.70152385
Recent early,Early2014_13,5,17,5,2.292146756,45.84293511
Unburnt,Notburnt_7,1,2,2,2.639747225,131.9873612
Unburnt,Notburnt_7,1,7,5,4.711880007,94.23760014
Unburnt,Notburnt_7,1,12,5,7.06583693,141.3167386
Unburnt,Notburnt_7,2,2,2,2.514728057,125.7364028
Unburnt,Notburnt_7,2,7,5,4.605300559,92.10601117
Unburnt,Notburnt_7,2,12,5,4.567986464,91.35972929
Unburnt,Notburnt_7,3,2,2,3.080967157,154.0483578
Unburnt,Notburnt_7,3,7,5,4.590665016,91.81330031
Unburnt,Notburnt_7,3,12,5,4.548710803,90.97421606
Unburnt,Notburnt_7,4,2,2,2.182836967,109.1418483
Unburnt,Notburnt_7,4,7,5,5.833978738,116.6795748
Unburnt,Notburnt_7,4,12,5,4.845478394,96.90956789
Unburnt,Notburnt_7,5,2,2,2.592918235,129.6459118
Unburnt,Notburnt_7,5,7,5,3.451651155,69.03302311
Unburnt,Notburnt_7,5,12,5,3.720502734,74.41005469
Unburnt,Notburnt_7,5,17,5,4.287628186,85.75256373
Old late,Late2004_9,1,2,2,0.764383937,38.21919685
Old late,Late2004_9,1,7,5,2.543534182,50.87068364
Old late,Late2004_9,1,12,5,4.548865559,90.97731119
Old late,Late2004_9,2,2,2,1.644778923,82.23894613
Old late,Late2004_9,2,7,5,4.681641105,93.6328221
Old late,Late2004_9,2,12,5,3.092004451,61.84008902
Old late,Late2004_9,3,2,2,1.886629458,94.33147292
Old late,Late2004_9,3,7,5,5.815127993,116.3025599
Old late,Late2004_9,3,12,5,3.91529114,78.3058228
Old late,Late2004_9,4,2,2,1.441293702,72.0646851
Old late,Late2004_9,4,7,5,4.445142643,88.90285287
Old late,Late2004_9,4,12,5,3.48079725,69.615945
Old late,Late2004_9,5,2,2,1.317963808,65.89819039
Old late,Late2004_9,5,7,5,5.051273602,101.025472
Old late,Late2004_9,5,12,5,4.218181959,84.36363917
Old late,Late2004_9,5,17,5,3.465324812,69.30649624
Old late,Late2010_19,1,2,2,1.617841395,80.89206975
Old late,Late2010_19,1,7,5,4.862774011,97.25548022
Old late,Late2010_19,1,12,5,5.424635153,108.4927031
Old late,Late2010_19,2,2,2,1.126628998,56.33144991
Old late,Late2010_19,2,7,5,3.279674486,65.59348972
Old late,Late2010_19,2,12,5,3.537312734,70.74625468
Old late,Late2010_19,3,2,2,1.632424723,81.62123614
Old late,Late2010_19,3,7,5,3.060879894,61.21759788
Old late,Late2010_19,3,12,5,2.84147713,56.8295426
Old late,Late2010_19,4,2,2,0.572061902,28.60309508
Old late,Late2010_19,4,7,5,3.1957751,63.91550199
Old late,Late2010_19,4,12,5,3.051594614,61.03189228
Old late,Late2010_19,5,2,2,0.604629831,30.23149153
Old late,Late2010_19,5,7,5,3.590627196,71.81254392
Old late,Late2010_19,5,12,5,3.651300606,73.02601213
Old late,Late2010_19,5,17,5,4.334796837,86.69593675
Old late,Lateburnt2012_7,1,2,2,0.981391515,49.06957573
Old late,Lateburnt2012_7,1,7,5,2.578154119,51.56308238
Old late,Lateburnt2012_7,1,12,5,2.841295546,56.82591092
Old late,Lateburnt2012_7,2,2,2,1.096998505,54.84992527
Old late,Lateburnt2012_7,2,7,5,3.573108719,71.46217438
Old late,Lateburnt2012_7,2,12,5,3.377680911,67.55361822
Old late,Lateburnt2012_7,3,2,2,0.762622176,38.13110881
Old late,Lateburnt2012_7,3,7,5,2.850376092,57.00752185
Old late,Lateburnt2012_7,3,12,5,3.560471857,71.20943714
Old late,Lateburnt2012_7,4,2,2,2.468236382,123.4118191
Old late,Lateburnt2012_7,4,7,5,3.825680303,76.51360606
Old late,Lateburnt2012_7,4,12,5,3.256709311,65.13418622
Old late,Lateburnt2012_7,5,2,2,0.772738003,38.63690015
Old late,Lateburnt2012_7,5,7,5,3.259488217,65.18976433
Old late,Lateburnt2012_7,5,12,5,3.697580081,73.95160162
Old late,Lateburnt2012_7,5,17,5,3.685911189,73.71822377
Old late,Late2012_8,1,2,2,1.222019599,61.10097997
Old late,Late2012_8,1,7,5,3.588229018,71.76458036
Old late,Late2012_8,1,12,5,3.593324282,71.86648564
Old late,Late2012_8,2,2,2,1.035378295,51.76891477
Old late,Late2012_8,2,7,5,3.793895541,75.87791082
Old late,Late2012_8,2,12,5,6.32081846,126.4163692
Old late,Late2012_8,3,2,2,1.61483613,80.7418065
Old late,Late2012_8,3,7,5,4.093378422,81.86756844
Old late,Late2012_8,3,12,5,5.616538252,112.330765
Old late,Late2012_8,4,2,2,1.193069069,59.65345344
Old late,Late2012_8,4,7,5,4.207778602,84.15557203
Old late,Late2012_8,4,12,5,4.831439804,96.62879608
Old late,Late2012_8,5,2,2,1.195224267,59.76121337
Old late,Late2012_8,5,7,5,3.881426572,77.62853144
Old late,Late2012_8,5,12,5,4.145667574,82.91335149
Old late,Late2012_18,1,2,2,0.89982335,44.99116749
Old late,Late2012_18,1,7,5,3.334251954,66.68503907
Old late,Late2012_18,1,12,5,3.387716042,67.75432085
Old late,Late2012_18,2,2,2,0.453913858,22.69569289
Old late,Late2012_18,2,7,5,2.65730448,53.1460896
Old late,Late2012_18,2,12,5,3.155702465,63.11404931
Old late,Late2012_18,3,2,2,0.212972295,10.64861473
Old late,Late2012_18,3,7,5,3.088615409,61.77230819
Old late,Late2012_18,3,12,5,2.833018343,56.66036686
Old late,Late2012_18,4,2,2,0.809479247,40.47396234
Old late,Late2012_18,4,7,5,2.895778617,57.91557235
Old late,Late2012_18,4,12,5,2.716996122,54.33992243
Old late,Late2012_18,5,2,2,1.238170864,61.90854322
Old late,Late2012_18,5,7,5,3.217110167,64.34220334
Old late,Late2012_18,5,12,5,3.178661821,63.57323643
Old late,Late2012_18,5,17,5,3.434789356,68.69578712
Recent late,Late2015_5,1,2,2,0.480732571,24.03662856
Recent late,Late2015_5,1,7,5,1.337821832,26.75643664
Recent late,Late2015_5,1,12,5,1.434285272,28.68570544
Recent late,Late2015_5,2,2,2,0.379515034,18.97575172
Recent late,Late2015_5,2,7,5,1.464355187,29.28710373
Recent late,Late2015_5,2,12,5,1.515559007,30.31118013
Recent late,Late2015_5,3,2,2,0.423786998,21.18934989
Recent late,Late2015_5,3,7,5,1.170204918,23.40409837
Recent late,Late2015_5,3,12,5,1.216908428,24.33816856
Recent late,Late2015_5,4,2,2,0.390695514,19.53477568
Recent late,Late2015_5,4,7,5,1.355954981,27.11909961
Recent late,Late2015_5,4,12,5,1.148799643,22.97599285
Recent late,Late2015_5,5,2,2,0.277504427,13.87522133
Recent late,Late2015_5,5,7,5,1.137606634,22.75213267
Recent late,Late2015_5,5,12,5,1.222917037,24.45834073
Recent late,Late2015_5,5,17,5,1.110326949,22.20653899
Recent early,Early2015_2,1,2,2,1.32101323,66.05066152
Recent early,Early2015_2,1,7,5,3.571788708,71.43577417
Recent early,Early2015_2,1,12,5,5.905051335,118.1010267
Recent early,Early2015_2,2,2,2,2.6433204,132.16602
Recent early,Early2015_2,2,7,5,4.26392857,85.27857139
Recent early,Early2015_2,2,12,5,4.493476271,89.86952542
Recent early,Early2015_2,3,2,2,0.806382626,40.3191313
Recent early,Early2015_2,3,7,5,3.508726865,70.17453729
Recent early,Early2015_2,3,12,5,2.358466344,47.16932689
Recent early,Early2015_2,4,2,2,0.654503631,32.72518155
